epoch;acc;loss;val_acc;val_loss
0;0.26745585838174313;2.088021111622285;0.46954875235566584;1.5642975462314344
1;0.4637841077141739;1.5392754586894861;0.5721047631420522;1.2134547008629966
2;0.5472512030391019;1.3080589290989344;0.6295361313469292;1.0638373638034506
3;0.605738362354222;1.1515223408300268;0.6860208284520095;0.9366968586340279
4;0.640349117605491;1.0659415102406833;0.7153676238937233;0.8390309426941756
5;0.6640248790168073;0.97403363067878;0.7336699273090477;0.7983874852968037
6;0.6898073832927508;0.9103536237013282;0.7488166601095865;0.7416299539020137
7;0.7148876406886222;0.8551333359357441;0.7526033435683402;0.7255656903156462
8;0.7241171757730971;0.8232967464154644;0.7516566761456367;0.7094433190469751
9;0.7395666115835046;0.7666763811346807;0.7847901573877825;0.6628560204353946
10;0.7528089911080478;0.7306525657733792;0.8056169178215778;0.5855502469865408
11;0.7665529685456718;0.6952594103677315;0.7917324041259443;0.610979361953928
12;0.7681581051736162;0.6792888007759091;0.8157147356447416;0.5522888466250299
13;0.7788924554760537;0.630637647491397;0.8128747237560011;0.556990770745932
14;0.7895264861863076;0.6184215228496356;0.8318081415293909;0.5083733458141304
15;0.799558587671283;0.5968365827590275;0.8400126227861551;0.49648664843287516
16;0.8074839478702454;0.5687216357185982;0.8520037863825578;0.47782234788768563
17;0.8090890860768039;0.5480106551242009;0.8258125599568934;0.560895822032388
18;0.8197231145865653;0.5259573795917903;0.8535815726774053;0.45765677303000557
19;0.8327648478947328;0.5045013804329532;0.8617860530031408;0.46614595216958443
20;0.8379815425095933;0.4727551250884468;0.8526349024239983;0.4823550082656178
21;0.8385999994277954;0.45978342443704606;0.8819816973954956;0.38342149622218774
22;0.8512479869735797;0.43335329594867433;0.883875040535522;0.37856135598941343
23;0.8575441430698045;0.4169093578408082;0.8886083917085137;0.3682892212086425
24;0.8614999990463257;0.40636111253499985;0.8942884183072939;0.3560925099508512
25;0.8674759235274926;0.3831841264930621;0.8901861747118456;0.38529181273512453
26;0.8722913343680613;0.3767044898571019;0.8851372679162379;0.4008527258361089
27;0.8739967902054947;0.3655895936941163;0.9009151153475676;0.34968191084330597
28;0.8860708526943041;0.3316942046061998;0.9050173566859767;0.3471343056961504
29;0.8874398074793012;0.33220235712192414;0.8987062167730118;0.3900729345481604
30;0.892400000333786;0.30736486572027205;0.9072262495238911;0.34239814122013207
31;0.8945625989815971;0.2997027874309839;0.9100662669611865;0.348605630320399
32;0.9008655395964685;0.2884694850927102;0.9088040405209037;0.3386117138295341
33;0.8993999993801117;0.28760243967175486;0.9125907217226182;0.34301649951650803
34;0.9095104345827577;0.2608806227048318;0.9170085184015134;0.34177341348611806
35;0.9115168524496436;0.24890410431913348;0.9157462920552738;0.38338275956450696
36;0.9175724660236863;0.23971754347008686;0.9110129391895028;0.3708742026059776
37;0.9232544124509129;0.21989106860334715;0.8949195325619116;0.4484506776117308
38;0.9234999997615814;0.21391025137156247;0.9280530099576864;0.3037335046827258
39;0.9223515234923477;0.215096545523783;0.9321552532710048;0.31946266626156855
